"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-05T00:00:00.000Z",11.08,,62.33,,,46,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-06T00:00:00.000Z",8.38,,72.08,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-07T00:00:00.000Z",9,,69.75,,,37,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-08T00:00:00.000Z",7.04,,61.75,,,29,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-09T00:00:00.000Z",9.75,,53.04,,,40,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-10T00:00:00.000Z",11.33,,70.17,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-11T00:00:00.000Z",17.35,,94.17,,,62,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-12T00:00:00.000Z",11.55,,93.27,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-13T00:00:00.000Z",6.14,,72,,,29,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-14T00:00:00.000Z",7.5,,56,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-15T00:00:00.000Z",19.33,,81.67,,,66,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-16T00:00:00.000Z",14,,60.38,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-17T00:00:00.000Z",14.05,,69.24,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-18T00:00:00.000Z",16.83,,57.75,,,61,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-19T00:00:00.000Z",18.3,,68.26,,,64,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-20T00:00:00.000Z",18.83,,70.96,,,65,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-21T00:00:00.000Z",15.29,,96.86,,,58,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-22T00:00:00.000Z",10.15,,87.05,,,42,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-23T00:00:00.000Z",8,,64.67,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-24T00:00:00.000Z",10.46,,35.68,,,43,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-25T00:00:00.000Z",,,69.4,,,28,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-26T00:00:00.000Z",,,80.45,,,32,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-27T00:00:00.000Z",,,80.09,,,32,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-28T00:00:00.000Z",9.78,,71.92,,,40,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-29T00:00:00.000Z",7.17,,60.43,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-06-30T00:00:00.000Z",13.14,,53.3,,,53,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-01T00:00:00.000Z",17,,67.74,,,61,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-02T00:00:00.000Z",6.57,,54,,,27,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-03T00:00:00.000Z",18.78,,40.61,,,65,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-04T00:00:00.000Z",18.67,,48.92,,,65,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-05T00:00:00.000Z",13.08,,40.52,,,53,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-06T00:00:00.000Z",14,,40.75,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-07T00:00:00.000Z",14.04,,56.17,,,55,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-08T00:00:00.000Z",11.67,,53.25,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-09T00:00:00.000Z",11.25,,61.25,,,46,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-10T00:00:00.000Z",8.42,,53.75,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-11T00:00:00.000Z",12.33,,39.33,,,51,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-12T00:00:00.000Z",16.5,,49.5,,,60,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-13T00:00:00.000Z",15.91,,56.18,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-14T00:00:00.000Z",7.29,,75,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-15T00:00:00.000Z",6,,67.5,,,27,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-16T00:00:00.000Z",7.38,,67.42,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-17T00:00:00.000Z",8.25,,58.18,,,34,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-07-18T00:00:00.000Z",7.5,,76.08,,,31,"PM2.5"
